V0,V1,V2,V3,V4,V6,V7,V8,V10,V12,V13,V15,V16,V18,V19,V20,V23,V24,V27,V29,V30,V31,V35,V36,V37,target,label
-1.184,-0.291,0.925,-1.372,-1.976,0.861,-0.188,0.373,0.097,-1.644,0.865,-1.342,0.653,0.083,-0.333,-1.337,0.102,1.508,0.384,-1.534,0.593,-0.049,-1.062,0.176,-0.363,-0.061,train
-1.249,0.121,1.085,-1.437,-2.023,0.851,-0.12,0.506,-0.613,-1.498,1.08,-1.427,0.683,-1.319,-0.572,-1.195,-0.349,1.506,0.421,-1.563,0.126,0.297,-0.586,-0.46,-0.649,-0.401,train
-0.857,0.156,0.858,-1.463,-1.289,0.843,-0.12,0.245,-0.642,-1.027,0.519,-1.597,0.725,-0.389,-0.476,-0.917,-1.103,1.432,0.358,-1.388,-0.217,0.351,-1.537,-0.66,-0.334,-0.111,train
0.373,0.517,0.876,-1.395,-0.169,0.816,-0.074,0.802,-0.097,-0.303,0.844,-1.345,0.677,-0.279,-0.583,-0.389,-1.103,0.799,0.501,-0.963,-0.302,0.734,-1.537,-0.256,-0.188,0.387,train
-0.034,-0.06,0.43,-1.431,0.348,0.778,-0.043,-0.03,0.986,0.189,-0.09,-0.54,0.599,-0.291,-0.085,-0.128,-1.079,0.233,0.082,-0.963,0.529,0.584,-1.537,0.641,0.831,-0.007,train
-0.324,-0.556,0.144,-1.221,0.14,0.634,-0.0,-0.634,-0.431,-0.214,0.797,-0.54,-0.142,0.445,-0.139,-0.504,-1.005,-1.319,0.319,0.139,0.874,-0.691,-1.537,0.109,0.047,0.053,train
0.732,0.56,1.101,-1.24,0.375,0.536,-0.111,0.62,-0.477,0.986,0.821,0.568,0.135,0.437,0.262,0.087,-0.646,-1.319,0.41,0.726,0.334,0.379,-1.24,-0.505,-1.672,0.838,train
0.991,0.795,1.195,-1.11,0.261,0.538,-0.111,0.716,0.771,0.811,0.795,0.667,0.228,0.431,-0.138,0.43,-0.644,-1.319,0.382,0.532,0.203,0.652,-1.166,0.246,-1.173,0.647,train
0.86,0.553,0.78,-0.771,0.187,0.566,-0.09,0.527,0.419,0.703,1.09,0.591,0.487,0.435,-0.13,1.143,-0.646,-1.319,0.327,0.338,0.28,0.489,-0.943,0.704,-0.217,0.079,train
0.72,0.709,0.618,-0.43,0.305,0.512,-0.086,0.538,-0.06,0.624,1.063,0.363,0.392,0.429,0.046,1.255,-0.648,-1.32,0.326,0.124,-0.547,0.62,-0.943,-0.118,-0.074,0.829,train
0.554,0.422,0.465,-0.456,0.431,0.511,-0.079,0.435,0.597,0.812,0.426,0.259,0.353,0.445,-0.231,0.971,-0.648,-1.32,0.235,0.124,-0.2,0.592,-0.943,0.271,0.454,0.921,train
0.418,0.393,0.463,-0.575,0.32,0.417,-0.109,0.385,0.069,0.991,0.592,0.259,0.052,0.444,-0.196,0.915,-0.635,-1.32,0.424,0.458,-0.3,0.295,-0.943,0.418,0.028,0.692,train
0.319,0.124,0.053,-0.536,0.32,0.332,-0.109,-0.121,0.746,0.696,0.581,0.508,0.088,0.433,0.081,1.124,-0.636,-1.32,0.176,0.578,0.184,0.161,-0.943,1.019,0.711,-0.548,train
0.622,0.687,0.467,0.233,0.435,0.277,-0.173,0.51,-0.72,1.039,0.387,0.545,-0.011,0.432,-0.118,0.961,-0.649,-1.32,0.285,0.697,0.024,0.558,-0.943,-0.752,0.2,1.291,train
0.126,-0.079,0.193,0.721,0.296,0.224,-0.198,-0.354,0.65,0.769,0.404,0.654,0.02,0.438,0.261,0.161,-0.649,-1.32,0.083,0.641,0.29,-0.131,-0.943,0.521,0.591,0.802,train
-0.653,-1.206,-0.467,0.672,-0.505,0.096,-0.232,-1.193,1.119,-0.246,0.329,0.358,-0.445,0.443,-0.18,-0.906,-0.643,-1.32,-0.283,0.641,0.477,-0.99,-0.943,1.319,1.557,-0.527,train
-0.595,-0.562,0.0,0.607,-0.732,-0.035,-0.385,-0.764,-0.61,-0.31,-0.071,0.358,-0.759,0.984,0.21,-1.257,-0.233,0.083,0.083,-0.206,1.213,-0.823,-1.378,-0.499,0.021,-0.121,train
-0.542,-0.337,0.042,-0.198,-0.701,-0.115,-0.385,-0.723,-0.753,-0.139,0.308,-0.425,-0.73,0.984,0.215,-1.212,0.335,0.8,0.22,-0.627,0.488,-0.404,0.364,-0.087,0.123,-0.624,train
-0.297,0.092,0.725,-0.328,-1.063,-0.054,-0.494,0.197,-1.136,-0.7,0.766,-0.977,-0.363,0.075,-0.266,-1.212,0.093,1.504,0.27,-0.913,0.637,0.114,0.364,-1.086,-1.438,-0.399,train
-0.61,-0.096,0.043,-0.326,-0.91,0.02,-0.47,0.249,-0.131,-0.862,-0.763,-1.069,-0.061,-0.658,-0.313,-0.721,-0.639,1.063,0.044,-1.267,0.477,-0.025,-0.289,-0.337,0.766,-0.618,train
-0.533,-0.221,0.146,-0.313,-0.388,-0.07,-0.437,-0.867,-1.025,-0.293,0.312,-1.197,-0.519,0.432,-0.246,-0.326,-0.654,0.799,0.252,-1.018,0.05,-0.605,-0.507,-0.704,-0.223,-0.698,train
-0.053,0.059,1.025,-0.131,-0.544,0.048,-0.455,0.086,-0.784,-0.528,0.908,-0.916,-0.258,0.517,-0.376,0.516,0.344,0.8,0.248,-0.808,0.022,-0.019,-0.997,-0.853,-1.529,-0.198,train
-0.395,0.112,0.699,0.346,-1.197,0.225,-0.455,0.451,0.075,-1.032,-0.354,-0.916,0.276,-0.382,-0.036,0.625,-0.64,0.8,0.321,-1.126,-0.087,0.23,-0.507,-0.653,-0.153,0.282,train
-0.108,0.084,0.723,0.605,-0.941,0.218,-0.359,0.042,-0.324,-0.541,0.738,-1.138,0.155,-0.378,-0.458,0.57,-0.643,0.801,0.396,-1.232,-0.362,0.24,-0.289,-0.179,-0.543,0.52,train
-0.162,-0.203,0.266,0.593,-0.404,0.302,-0.324,-0.272,0.59,-0.326,0.776,-0.93,0.236,0.517,-0.317,0.246,-0.643,0.799,0.169,-0.846,0.034,0.005,-0.943,0.9,0.181,-0.083,train
0.287,0.25,0.811,0.538,-0.232,0.371,-0.274,0.43,-0.07,-0.023,0.685,-0.93,0.216,0.527,-0.303,0.215,-0.643,0.799,0.31,-0.846,-0.049,0.389,-0.943,-0.375,-0.325,0.993,train
0.122,-0.074,0.135,0.425,0.235,0.378,-0.203,-0.252,0.864,0.252,-0.088,-0.538,0.074,0.531,0.633,-0.548,-0.633,0.8,0.155,-0.48,1.181,0.118,-0.943,0.805,0.65,0.508,train
0.808,0.497,0.625,0.164,0.248,0.335,-0.203,0.748,0.389,0.673,0.819,-0.538,-0.098,0.53,0.944,-0.739,-0.648,0.094,0.451,-0.019,0.755,0.608,-0.943,0.384,-0.529,0.87,train
0.909,0.684,1.254,0.134,0.398,0.436,-0.214,0.617,0.265,0.898,0.298,0.125,0.187,0.527,0.597,-0.739,-0.643,0.09,0.32,0.208,1.281,0.443,-0.943,0.293,-1.298,1.144,train
1.018,0.77,0.68,0.153,0.346,0.446,-0.175,0.738,0.548,0.835,-0.56,0.367,0.438,-0.691,0.753,-0.419,-0.648,-1.32,0.448,0.282,0.46,0.487,-0.943,0.583,-0.078,0.812,train
0.833,0.451,0.501,0.149,0.544,0.386,-0.122,0.44,-0.755,0.874,0.883,0.367,0.201,0.529,0.236,-0.071,0.334,-1.32,0.424,0.538,0.917,0.382,-0.289,-0.035,-0.046,0.515,train
0.933,0.738,0.978,0.202,0.521,0.426,-0.116,0.537,-0.175,1.212,0.782,0.761,0.332,0.531,0.481,0.058,0.346,-1.32,0.439,0.697,0.565,0.466,-0.289,-0.144,-0.98,0.521,train
0.895,0.68,0.879,0.416,0.433,0.466,-0.116,0.537,-0.186,0.7,0.451,0.616,0.456,0.531,0.86,0.661,0.354,-1.32,0.417,0.327,-0.245,0.487,0.364,-0.023,-0.474,0.714,train
0.932,0.65,0.878,0.922,0.441,0.437,-0.1,0.487,0.429,0.875,-0.718,0.616,0.425,0.526,0.658,0.615,0.355,-1.32,0.364,0.327,0.047,0.512,0.364,0.307,-0.484,1.114,train
0.713,0.635,1.178,0.911,0.663,0.318,-0.119,0.385,0.295,0.922,0.609,0.562,0.189,0.537,0.394,0.381,0.36,-1.319,0.411,0.634,-0.084,0.433,0.364,0.78,-0.909,1.085,train
0.918,0.758,0.817,0.849,0.484,0.333,-0.146,0.7,0.956,1.228,0.092,0.724,0.467,0.531,0.629,0.217,0.36,-1.32,0.291,0.667,0.865,0.759,0.364,0.494,-0.124,1.249,train
0.287,0.133,0.173,0.708,0.114,0.239,-0.157,-0.584,0.251,0.986,0.599,0.724,0.216,0.53,0.596,-0.235,0.366,-1.318,0.088,0.649,-0.097,-0.198,0.364,0.626,0.461,0.436,train
0.443,0.334,0.905,0.682,-0.046,0.267,-0.157,0.103,-0.405,0.447,0.596,0.523,-0.093,-0.123,0.52,-0.27,-0.145,0.09,0.277,-0.003,0.101,0.1,0.364,-0.58,-1.574,0.764,train
0.489,0.402,0.469,0.582,0.154,0.238,-0.203,0.22,0.39,0.345,0.103,0.155,0.218,-0.383,1.064,-0.462,-0.635,0.09,0.162,-0.349,0.297,0.473,-0.289,-0.119,0.304,0.752,train
0.39,0.383,0.626,0.498,0.182,0.177,-0.22,-0.074,-0.183,0.625,1.117,-0.107,-0.055,-0.387,0.744,-0.629,-0.648,0.799,0.322,-0.307,-0.446,0.217,-0.671,-0.004,-0.658,0.669,train
-0.288,-0.493,-0.067,0.476,-0.316,0.152,-0.245,-0.813,0.774,-0.246,-0.119,-0.103,0.062,-0.399,0.805,-1.084,-0.634,0.798,-0.101,-0.098,0.061,-0.271,-0.943,0.558,1.128,-0.144,train
0.543,0.474,0.506,0.572,0.224,0.06,-0.284,0.428,-0.852,0.636,0.936,-0.103,-0.246,-0.397,0.76,-0.989,-0.635,0.8,0.438,0.159,0.14,0.321,-0.943,-1.024,-0.509,0.9,train
0.315,0.035,0.193,0.495,0.152,0.068,-0.284,-0.035,0.341,0.539,1.208,0.363,0.025,0.075,0.832,-1.191,-0.639,0.799,0.22,0.534,0.499,0.079,-0.943,0.08,0.208,0.194,train
0.869,0.635,0.858,0.59,0.531,0.173,-0.302,0.673,-0.146,1.102,1.04,0.804,-0.078,0.59,0.779,-0.821,-0.788,0.358,0.409,0.664,0.378,0.52,-0.943,-0.171,-1.145,1.018,train
0.739,0.52,1.419,0.44,0.317,0.303,-0.271,0.304,0.628,0.927,1.057,0.78,0.307,0.52,0.353,-0.741,0.349,0.092,0.323,0.664,0.046,0.301,0.364,0.581,-1.702,0.787,train
0.693,0.483,0.643,0.451,0.041,0.376,-0.227,0.602,0.289,0.541,0.536,0.507,0.427,0.528,0.504,-0.44,0.351,0.549,0.311,0.048,0.695,0.496,0.364,0.385,0.012,0.732,train
0.873,0.717,0.955,0.162,0.379,0.381,-0.173,0.887,-0.333,0.757,1.55,0.234,0.378,1.163,0.018,-0.207,-0.495,0.796,0.482,0.071,-0.359,0.772,0.364,0.043,-1.048,0.816,train
0.757,0.487,1.743,0.473,0.182,0.517,-0.173,0.491,-0.128,0.694,1.238,0.272,0.446,2.085,-0.004,0.123,0.353,0.8,0.427,0.316,-0.859,0.304,-0.943,-0.142,-1.691,0.843,train
-0.142,0.28,0.644,0.547,0.568,0.56,-0.089,-0.461,1.202,0.416,1.063,0.331,0.45,3.566,-0.473,0.006,0.355,0.799,0.051,0.12,-0.934,0.34,-0.834,1.048,0.829,-0.543,train
-1.329,-1.934,-0.07,0.56,-0.348,0.434,-0.082,-1.482,0.192,-0.808,0.448,0.36,-0.126,1.715,0.069,-0.743,0.36,-1.044,-0.449,0.471,-0.767,-1.459,0.364,-0.218,1.847,-1.538,train
-1.157,-1.841,-0.258,0.399,-0.235,0.24,-0.076,-1.41,-1.801,-0.477,0.271,1.118,-0.819,2.436,0.115,-0.719,0.358,-1.32,-0.198,0.646,0.153,-1.728,0.364,-1.714,1.312,-0.86,train
0.458,0.099,0.119,0.488,0.535,0.172,-0.261,0.53,-1.557,1.009,0.836,1.251,-0.949,0.534,0.385,-0.135,0.36,-1.319,0.355,1.02,0.379,-0.073,0.364,-2.255,-0.085,0.512,train
0.56,0.218,0.432,0.56,0.544,0.23,-0.261,0.207,1.131,0.98,0.15,1.263,-0.4,0.524,0.075,0.067,-1.626,-1.32,0.172,1.02,0.53,0.293,-0.943,0.095,0.385,0.71,train
-0.286,-0.695,-0.127,0.459,0.157,0.144,-0.282,-0.883,0.342,0.085,0.637,0.84,-0.676,0.52,0.054,-0.218,-0.645,-1.32,0.04,0.757,0.23,-0.834,-0.943,1.213,0.818,-0.308,train
0.189,-0.113,0.183,0.406,0.176,0.107,-0.325,-0.111,-0.596,0.575,0.945,0.84,-0.698,0.54,0.019,-0.18,-0.641,-1.155,0.177,0.458,-0.291,-0.238,-0.943,-0.649,0.148,0.044,train
-0.229,-0.242,0.169,0.296,-0.03,0.107,-0.368,-0.592,-0.385,0.373,1.08,0.204,-0.6,0.527,-0.282,-0.156,-0.64,0.092,-0.057,0.09,-0.234,-0.385,-0.943,-0.442,0.639,-0.443,train
-1.472,-1.997,-0.342,0.311,-0.517,0.046,-0.35,-1.944,0.201,-1.03,0.954,-0.226,-0.697,2.44,-0.513,-0.653,-0.639,0.798,-0.341,-0.002,-0.249,-1.462,-0.943,-0.089,1.515,-1.539,train
-0.266,-0.55,0.027,0.256,-0.229,-0.035,-0.35,-0.52,-1.915,-0.412,1.385,-0.265,-0.98,1.324,-0.099,-0.172,0.347,0.799,0.225,-0.093,-0.195,-0.539,-0.181,-1.686,-0.1,-0.39,train
0.4,0.335,0.389,0.315,0.075,0.03,-0.453,0.424,-0.213,0.009,0.97,-0.417,-0.461,0.062,-0.891,0.123,-0.639,1.508,0.166,-0.303,0.185,0.308,-0.943,-0.826,0.132,0.244,train
-0.137,-0.577,0.009,0.22,0.454,0.085,-0.427,-0.558,0.404,0.282,0.898,-0.27,-0.535,0.834,-0.426,-0.027,-0.641,1.508,0.057,-0.303,-0.23,-0.351,-0.943,0.448,0.769,-0.072,train
